unit,schedule,treatment,treatment_5,treatment_25,npv_5_percent,stock_0,stock_5,stock_25,harvest_value_25,stock_1_0,stock_1_5,stock_1_25,stock_2_0,stock_2_5,stock_2_25,stock_30_0,stock_30_5,stock_30_25,harvest_value_5
43124559,0,donothing,donothing,donothing,4415.969904451399,47.91707216000586,75.79637168498694,178.15575393671182,0.0,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,17.993700175555407,45.303898988379736,70.98570904085133,174.78482265425995,0.0
43124559,1,below_25,donothing,below,4630.827062035533,47.91707216000586,75.79637168498694,71.58963538385893,7784.713451593503,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,5.707342170097153,45.303898988379736,70.98570904085133,71.75826786082033,0.0
43124559,2,above_25,donothing,above,4645.476427655945,47.91707216000586,75.79637168498694,67.32426903166238,8315.489874798572,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,7.901298689777801,45.303898988379736,70.98570904085133,64.94884983324722,0.0
43124559,3,even_25,donothing,even,4639.039739260263,47.91707216000586,75.79637168498694,69.0211893083246,8082.275513680689,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,6.971128120933064,45.303898988379736,70.98570904085133,67.7152214624917,0.0
43124559,4,clearcut_25,donothing,clearcut,10315.743445582935,47.91707216000586,75.79637168498694,0.03909143135294004,13193.83911565512,0.0,0.0,0.04230000000000001,2.6131731716261273,4.810662644135584,0.0,45.303898988379736,70.98570904085133,0.0,0.0
43124560,0,donothing,donothing,donothing,3654.542976167115,38.910097156808376,63.395427884393825,151.7595753161719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,164.38302494928303,0.0
43124560,1,below_25,donothing,below,3853.72212554421,38.910097156808376,63.395427884393825,47.81129131889119,7283.802980795137,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,51.788262304745764,0.0
43124560,2,above_25,donothing,above,3866.356800769969,38.910097156808376,63.395427884393825,45.03158643098313,7745.8417301250465,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,48.777339949509425,0.0
43124560,3,even_25,donothing,even,3866.4632217174963,38.910097156808376,63.395427884393825,42.86138651309985,7749.733448797592,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,46.426621541770686,0.0
43124560,4,clearcut_25,donothing,clearcut,7601.030222969757,38.910097156808376,63.395427884393825,0.02575747801591763,10799.961596513507,0.0,0.0,0.027900000000000008,0.0,0.0,0.0,38.910097156808376,63.395427884393825,0.0,0.0
43124560,5,below_5,below,donothing,2219.9235921610248,38.910097156808376,40.6104796567926,110.10933794766915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,40.6104796567926,120.03774627493723,992.2467976543162
43124560,6,below_5 + below_25,below,below,2338.0483689200037,38.910097156808376,40.6104796567926,47.52529037365565,4590.516583852033,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,40.6104796567926,51.810580772240094,992.2467976543162
