unit,schedule,treatment,treatment_5,treatment_25,npv_5_percent,stock_0,stock_5,stock_25,harvest_value_5,harvest_value_25,stock_1_0,stock_1_5,stock_1_25,stock_2_0,stock_2_5,stock_2_25,stock_30_0,stock_30_5,stock_30_25
43124559,0,donothing,donothing,donothing,4316.014389853366,47.91707216000586,75.79632964591624,192.78888223697504,0.0,0.0,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,17.99317591647298,45.303898988379736,70.98566700178066,174.79570632050203
43124559,1,below_25,donothing,below,4697.025796318723,47.91707216000586,75.79632964591624,77.47136483056437,0.0,8185.502672945199,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,5.707215303476469,45.303898988379736,70.98566700178066,71.76414952708791
43124559,2,above_25,donothing,above,4726.693207536102,47.91707216000586,75.79632964591624,72.8525512311947,0.0,8822.865937399787,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,7.901034133267103,45.303898988379736,70.98566700178066,64.95151709792758
43124559,3,even_25,donothing,even,4713.447871060982,47.91707216000586,75.79632964591624,74.6903630300123,0.0,8538.308217390995,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,6.970925012222987,45.303898988379736,70.98566700178066,67.7194380177893
43124559,4,clearcut_25,donothing,clearcut,10500.426322030855,47.91707216000586,75.79632964591624,0.04230000000000001,0.0,13938.285665892934,0.0,0.0,0.04230000000000001,2.6131731716261273,4.810662644135584,0.0,45.303898988379736,70.98566700178066,0.0
43124560,0,donothing,donothing,donothing,3527.1370243048214,38.910097156808376,63.395427884393825,164.3829471382053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,164.3829471382053
43124560,1,below_25,donothing,below,3878.905522457184,38.910097156808376,63.395427884393825,51.78821245833685,0.0,7557.25926579543,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,51.78821245833685
43124560,2,above_25,donothing,above,3905.835842202125,38.910097156808376,63.395427884393825,48.7773316174103,0.0,8135.819908639418,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,48.7773316174103
43124560,3,even_25,donothing,even,3903.45965914557,38.910097156808376,63.395427884393825,46.426599565624066,0.0,8084.770904775533,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,46.426599565624066
43124560,4,clearcut_25,donothing,clearcut,7702.734020809435,38.910097156808376,63.395427884393825,0.027900000000000008,0.0,11266.866901303922,0.0,0.0,0.027900000000000008,0.0,0.0,0.0,38.910097156808376,63.395427884393825,0.0
43124560,5,below_5,below,donothing,3669.3595576557723,38.910097156808376,40.6104796567926,120.03761203391316,992.2467976543162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,40.6104796567926,120.03761203391316
43124560,6,below_5 + below_25,below,below,3896.051467463584,38.910097156808376,40.6104796567926,51.81049986080433,992.2467976543162,4870.161895889605,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,40.6104796567926,51.81049986080433
43124560,7,below_5 + above_25,below,above,3910.8670125239582,38.910097156808376,40.6104796567926,49.61875557068772,992.2467976543162,5188.453373874149,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,40.6104796567926,49.61875557068772
43124560,8,below_5 + even_25,below,even,3917.451661119867,38.910097156808376,40.6104796567926,46.505030352570934,992.2467976543162,5329.915434504416,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,40.6104796567926,46.505030352570934
43124560,9,below_5 + clearcut_25,below,clearcut,7725.512338820862,38.910097156808376,40.6104796567926,0.027900000000000008,992.2467976543162,8700.773269095536,0.0,0.0,0.027900000000000008,0.0,0.0,0.0,38.910097156808376,40.6104796567926,0.0
43124560,10,above_5,above,donothing,3768.18623071611,38.910097156808376,39.70976818267118,119.98452673949015,1179.9768222101404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,39.70976818267118,119.98452673949015
43124560,11,above_5 + below_25,above,below,3991.8238950264536,38.910097156808376,39.70976818267118,50.64806574250046,1179.9768222101404,4804.545659054894,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,39.70976818267118,50.64806574250046
