unit,schedule,treatment,treatment_5,treatment_25,npv_5_percent,stock_0,stock_5,stock_25,harvest_value_25,stock_1_0,stock_1_5,stock_1_25,stock_2_0,stock_2_5,stock_2_25,stock_30_0,stock_30_5,stock_30_25,harvest_value_5
43124559,0,donothing,donothing,donothing,5243.840512548094,47.91707216000586,75.79632964591624,192.78888223697504,0.0,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,17.99317591647298,45.303898988379736,70.98566700178066,174.79570632050203,0.0
43124559,1,below_25,donothing,below,5708.882039585826,47.91707216000586,75.79632964591624,77.47136483056437,9990.773499176074,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,5.707215303476469,45.303898988379736,70.98566700178066,71.76414952708791,0.0
43124559,2,above_25,donothing,above,5748.944676952801,47.91707216000586,75.79632964591624,72.8525512311947,10851.46380841062,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,7.901034133267103,45.303898988379736,70.98566700178066,64.95151709792758,0.0
43124559,3,even_25,donothing,even,5730.86288508878,47.91707216000586,75.79632964591624,74.6903630300123,10463.001538979855,0.0,0.0,0.0,2.6131731716261273,4.810662644135584,6.970925012222987,45.303898988379736,70.98566700178066,67.7194380177893,0.0
43124559,4,clearcut_25,donothing,clearcut,11574.501037315336,47.91707216000586,75.79632964591624,0.04230000000000001,17080.23424077574,0.0,0.0,0.04230000000000001,2.6131731716261273,4.810662644135584,0.0,45.303898988379736,70.98566700178066,0.0,0.0
43124560,0,donothing,donothing,donothing,4228.96850033718,38.910097156808376,63.395427884393825,164.3829471382053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,164.3829471382053,0.0
43124560,1,below_25,donothing,below,4652.890374452655,38.910097156808376,63.395427884393825,51.78821245833685,9107.374673854196,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,51.78821245833685,0.0
43124560,2,above_25,donothing,above,4690.2683259999185,38.910097156808376,63.395427884393825,48.7773316174103,9910.388224387245,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,48.7773316174103,0.0
43124560,3,even_25,donothing,even,4684.673219037201,38.910097156808376,63.395427884393825,46.426599565624066,9790.185096025334,0.0,0.0,0.0,0.0,0.0,0.0,38.910097156808376,63.395427884393825,46.426599565624066,0.0
43124560,4,clearcut_25,donothing,clearcut,8515.191683251394,38.910097156808376,63.395427884393825,0.027900000000000008,13643.517387844808,0.0,0.0,0.027900000000000008,0.0,0.0,0.0,38.910097156808376,63.395427884393825,0.0,0.0
